run_id,role,part,method,env,size_class,seed,config_sha256,step,checkpoint,is_t0,axis,metric,value
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,2000,0,True,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,2000,0,True,online,episode_return,-0.005200000000000002
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,4000,1,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,4000,1,False,online,episode_return,-0.005335000000000002
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,6000,2,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,6000,2,False,online,episode_return,-0.0032900000000000026
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,8000,3,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,8000,3,False,online,episode_return,-0.0020750000000000018
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,10000,4,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,10000,4,False,online,episode_return,-0.0012100000000000008
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,12000,5,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,12000,5,False,online,episode_return,-0.001425000000000001
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,14000,6,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,14000,6,False,online,episode_return,-0.00024000000000000014
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,16000,7,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,16000,7,False,online,episode_return,-0.00025000000000000017
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,18000,8,False,online,discovery_prob,0.0
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,18000,8,False,online,episode_return,-0.00024500000000000015
tune_backbone_c00_N20,exploratory,A,ddqn_egreedy,deep_sea,development,0,ebc03145b50dd0665fabb6bee7f123e1bfa3d78edf13199aeedba046d2063070,20000,9,False,online,discovery_prob,0.0
